part,alpha_deg,beta_deg,pose_id,sim_count,sim_freq_pct,geom_CSA_B_pct,geom_CSA_A_pct,geom_CSA_N_pct,geom_CRSA_B_pct,geom_CRSA_A_pct,geom_CRSA_N_pct,ratio_wall,thresh_wall,ratio_floor,thresh_floor,geom_notes,flagged_unstable_by_geometry
Ql4i,25.0,18.0,24,5,0.3075030750307503,0.0,0.0,6.62,0.0,0.0,5.43,3.732,2.731,0.932,2.296,TRANSITIONS,True
Ql4i,25.0,18.0,-1,374,23.001230012300123,,,,,,,,2.731,,2.296,UNMATCHED (no catalog pose within quat_match_tol),False
Ql4i,25.0,20.0,1,162,10.344827586206897,12.63,12.66,5.01,12.67,13.01,6.91,0.264,2.731,0.25,2.296,-,False
Ql4i,25.0,20.0,2,9,0.5747126436781609,0.0,0.0,6.57,0.0,0.0,5.5,4.163,2.731,1.04,2.296,TRANSITIONS,True
Ql4i,25.0,20.0,3,180,11.494252873563218,12.34,12.3,4.9,12.31,12.44,6.72,0.236,2.731,0.25,2.296,-,False
Ql4i,25.0,20.0,4,19,1.2132822477650065,0.0,0.0,6.8,0.0,0.0,5.87,3.732,2.731,0.932,2.296,TRANSITIONS,True
Ql4i,25.0,20.0,5,2,0.1277139208173691,0.0,0.0,0.8,0.0,0.0,0.19,1.056,2.731,4.0,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,20.0,6,2,0.1277139208173691,0.0,0.0,0.83,0.0,0.0,0.24,1.059,2.731,4.216,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,20.0,7,2,0.1277139208173691,0.0,0.0,0.88,0.0,0.0,0.23,0.945,2.731,3.984,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,20.0,8,3,0.19157088122605365,0.0,0.0,0.85,0.0,0.0,0.23,0.947,2.731,3.774,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,20.0,9,8,0.5108556832694764,0.0,0.0,6.9,0.0,0.0,4.76,4.0,2.731,0.944,2.296,TRANSITIONS,True
Ql4i,25.0,20.0,10,200,12.77139208173691,12.91,12.89,5.12,12.82,11.97,7.0,0.25,2.731,0.236,2.296,-,False
Ql4i,25.0,20.0,11,24,1.5325670498084292,0.0,0.0,6.89,0.0,0.0,5.71,3.936,2.731,0.928,2.296,TRANSITIONS,True
Ql4i,25.0,20.0,12,194,12.388250319284802,12.91,12.87,5.12,12.82,12.94,7.0,0.25,2.731,0.236,2.296,-,False
Ql4i,25.0,20.0,13,18,1.1494252873563218,0.0,0.0,0.8,0.0,0.0,0.19,1.056,2.731,4.0,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,20.0,14,20,1.277139208173691,0.0,0.0,0.83,0.0,0.0,0.24,1.059,2.731,4.216,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,20.0,15,26,1.6602809706257982,0.0,0.0,0.88,0.0,0.0,0.23,0.945,2.731,3.984,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,20.0,16,19,1.2132822477650065,0.0,0.0,0.85,0.0,0.0,0.23,0.947,2.731,3.774,2.296,FLOOR-UNSTABLE,True
Ql4i,25.0,20.0,17,18,1.1494252873563218,0.0,0.0,6.54,0.0,0.0,4.74,4.0,2.731,1.056,2.296,TRANSITIONS,True
Ql4i,25.0,20.0,18,154,9.83397190293742,12.12,12.17,4.81,12.21,11.61,6.66,0.25,2.731,0.264,2.296,-,False
Ql4i,25.0,20.0,19,5,0.31928480204342274,0.0,0.0,6.53,0.0,0.0,5.69,3.936,2.731,1.037,2.296,TRANSITIONS,True
Ql4i,25.0,20.0,20,156,9.96168582375479,12.12,12.15,4.81,12.21,12.57,6.66,0.25,2.731,0.264,2.296,-,False
Ql4i,25.0,20.0,21,148,9.450830140485312,12.63,12.66,5.01,12.67,13.01,6.91,0.264,2.731,0.25,2.296,-,False
Ql4i,25.0,20.0,22,16,1.0217113665389528,0.0,0.0,6.57,0.0,0.0,5.5,4.163,2.731,1.04,2.296,TRANSITIONS,True
Ql4i,25.0,20.0,23,169,10.79182630906769,12.34,12.3,4.9,12.31,12.44,6.72,0.236,2.731,0.25,2.296,-,False
Ql4i,25.0,20.0,24,12,0.7662835249042146,0.0,0.0,6.8,0.0,0.0,5.87,3.732,2.731,0.932,2.296,TRANSITIONS,True
Ql4i,25.0,20.0,-1,434,27.713920817369093,,,,,,,,2.731,,2.296,UNMATCHED (no catalog pose within quat_match_tol),False
Ql4i,35.0,15.0,1,147,9.551656920077972,12.7,12.67,6.62,12.7,12.82,9.87,0.264,2.731,0.25,2.296,-,False
Ql4i,35.0,15.0,2,5,0.3248862897985705,0.0,0.0,4.33,0.0,0.0,2.54,4.163,2.731,1.04,2.296,TRANSITIONS,True
Ql4i,35.0,15.0,3,234,15.2046783625731,12.28,12.3,6.4,12.28,12.37,9.54,0.236,2.731,0.25,2.296,-,False
Ql4i,35.0,15.0,4,15,0.9746588693957114,0.0,0.0,4.43,0.0,0.0,2.65,3.732,2.731,0.932,2.296,TRANSITIONS,True
Ql4i,35.0,15.0,5,2,0.1299545159194282,0.0,0.0,1.53,0.0,0.0,0.25,1.056,2.731,4.0,2.296,FLOOR-UNSTABLE,True
Ql4i,35.0,15.0,6,1,0.0649772579597141,0.0,0.0,1.58,0.0,0.0,0.3,1.059,2.731,4.216,2.296,FLOOR-UNSTABLE,True
Ql4i,35.0,15.0,7,3,0.1949317738791423,0.0,0.0,1.67,0.0,0.0,0.31,0.945,2.731,3.984,2.296,FLOOR-UNSTABLE,True
